id,title,address,latitude,longitude,description,body,photourl
Gordy Hall,Gordy Hall,,39.32478699,-82.0993897,,,
Grosvenor Hall,Grosvenor Hall,,39.32469729,-82.10591893,,,
Grosvenor West,Grosvenor West,,39.32490719,-82.10655928,,,
Grover Center,Grover Center,,39.32400339,-82.10322976,,,
Haning Hall,Haning Hall,,39.32750699,-82.10276661,,,
Heritage Hall,Heritage Hall,,39.32919521,-82.10886956,,,
Hoover House,Hoover House,,39.32202708,-82.0948084,,,
Howard Park,Howard Park,,39.32770306,-82.09959368,,,
Hudson Health Center,Hudson Health Center,,39.32825305,-82.09879616,,,
Hudson Health Center,Hudson Health Center,,39.32825305,-82.09879616,,,
Innovation Center,Innovation Center,,39.33449832,-82.11507743,,,
Intramural Fields,Intramural Fields,,39.3283757,-82.09037081,,,
Irvine Hall,Irvine Hall,,39.32602989,-82.10569822,,,
James Hall,James Hall,,39.32469544,-82.1049606,,,
Jefferson Hall,Jefferson Hall,,39.32711936,-82.09632426,,,
Jennings House,Jennings House,,39.32765372,-82.09879162,,,
Johnson Hall,Johnson Hall,,39.32678267,-82.09687967,,,
Kantner Hall,Kantner Hall,,39.32847493,-82.10020082,,,
Kennedy Museum of Art,Kennedy Museum of Art,,39.3203009,-82.10933508,,,
Konneker Advancement and Alumni Center,Konneker Advancement and Alumni Center,,39.32542395,-82.09862381,,,
Konneker Research Center,Konneker Research Center,,39.32140331,-82.11283757,,,
Lasher Hall,Lasher Hall,,39.32741747,-82.10335804,,,
Lausche Heating Plant,Lausche Heating Plant,,39.32686938,-82.10868727,,,
Lausche Heating Plant Substation,Lausche Heating Plant Substation,,39.32761677,-82.10406405,,,
Life Sciences Building,Life Sciences Building,,39.32708499,-82.10423908,,,
Lin Hall,Lin Hall,,39.3203009,-82.10933508,,,
Lincoln Hall,Lincoln Hall,,39.32705588,-82.09754239,,,
Lindley Hall,Lindley Hall,,39.32632019,-82.10163471,,,
Luchs Hall,Luchs Hall,,39.32232981,-82.09704197,,,
Mackinnon Hall,Mackinnon Hall,,39.3242739,-82.09493041,,,
Martzolff House,Martzolff House,,39.32356274,-82.0935647,,,
McGuffey Hall,McGuffey Hall,,39.32626703,-82.1005233,,,
McGuffey Hall,McGuffey Hall,,39.32626703,-82.1005233,,,
Mckee House,Mckee House,,39.32585378,-82.09869621,,,
Medical Education Center,Medical Education Center,,39.32944281,-82.10782799,,,
Morton Hall,Morton Hall,,39.32415552,-82.09735782,,,
Muck Business Annex,Muck Business Annex,,39.32701,-82.10187,,,
Multi-Phase Technology and Corrosion Center,Multi-Phase Technology and Corrosion Center,,39.33547395,-82.11538767,,,
Museum Complex,Museum Complex,,39.3203009,-82.10933508,,,
Nelson Commons,Nelson Commons,,39.32309342,-82.09544823,,,
O&#039;Bleness House,O&#039;Bleness House,,39.32350419,-82.09411396,,,
OHIO Student Farm,OHIO Student Farm,,39.33781986,-82.11580516,,,
Ohio University Inn,Ohio University Inn,,39.31702482,-82.10647008,,,
Oil Storage Facility,Oil Storage Facility,,39.33542003,-82.11493993,,,
Parks Hall,Parks Hall,,39.32517892,-82.10687218,,,
Peden Stadium,Peden Stadium,,39.3210331,-82.10294297,,,
Perkins Hall,Perkins Hall,,39.3255546,-82.09728957,,,
Pickering Hall,Pickering Hall,,39.3253181,-82.09444907,,,
Pilcher House,Pilcher House,,39.32764707,-82.1007655,,,
Ping Recreation Center,Ping Recreation Center,,39.32108523,-82.09885597,,,
Porter Hall,Porter Hall,,39.32497,-82.10368,,,
Practice Field,Practice Field,,39.31994023,-82.10131447,,,
President Street Academic Center,President Street Academic Center,,39.32694756,-82.10243747,,,
Pruitt Field,Pruitt Field,,39.32550041,-82.10998,,,
Putnam Hall,Putnam Hall,,39.32767063,-82.09752327,,,
Read Hall,Read Hall,,39.32664082,-82.09591019,,,
Research and Technology Center,Research and Technology Center,,39.32701822,-82.10312945,,,
Ridges Auditorium,Ridges Auditorium,,39.32111086,-82.11104343,,,
Ridges Building 19,Ridges Building 19,,39.31981374,-82.10818777,,,
Ridges Building 21,Ridges Building 21,,39.31975324,-82.10711683,,,
Ridges Building 21,Ridges Building 21,,39.31975324,-82.10711683,,,
Ridges Building 22,Ridges Building 22,,39.32039817,-82.11121333,,,
Ridges Building 33,Ridges Building 33,,39.31886273,-82.10993633,,,
Ridges Building 34,Ridges Building 34,,39.31882919,-82.10950956,,,
Ridges Building 37,Ridges Building 37,,39.31840988,-82.10925575,,,
Ridges Building 5,Ridges Building 5,,39.31996215,-82.11101796,,,
Ridges Building 7,Ridges Building 7,,39.31954655,-82.1096428,,,
Ridges Building 9,Ridges Building 9,,39.31954995,-82.10964206,,,
"Ridges Buildings 13, 14, and 18","Ridges Buildings 13, 14, and 18",,39.319677,-82.108489,,,
"Ridges Buildings 2, 3, and 4","Ridges Buildings 2, 3, and 4",,39.31944,-82.10949,,,
RTV Communications Building,RTV Communications Building,,39.32816074,-82.10003352,,,
Ryors Hall,Ryors Hall,,39.32628896,-82.10542906,,,
Sargent Hall,Sargent Hall,,39.3251986,-82.10471738,,,
Schoonover Center,Schoonover Center,,39.32779529,-82.1003197,,,
Scott Quadrangle,Scott Quadrangle,,39.3242528,-82.09852267,,,
Scripps Hall,Scripps Hall,,39.3253533,-82.1010421,,,
Sculpture Studio,Sculpture Studio,,39.32873608,-82.09736769,,,
Seigfred Hall,Seigfred Hall,,39.32868458,-82.09837225,,,
Shively Hall,Shively Hall,,39.32500523,-82.09749444,,,
Sing Tao House,Sing Tao House,,39.32571138,-82.10182429,,,
Smith House,Smith House,,39.32299155,-82.09236164,,,
Smith House,Smith House,,39.32299155,-82.09236164,,,
Softball Complex,Softball Complex,,39.32397146,-82.10758081,,,
Soldiers and Sailors Monument,Soldiers and Sailors Monument,,39.32729588,-82.10072904,,,
Sook Academic Center,Sook Academic Center,,39.32187,-82.10283,,,
South Green Fieldhouse,South Green Fieldhouse,,39.32512517,-82.09136607,,,
Sowle Hall,Sowle Hall,,39.32226848,-82.09781057,,,
Stocker Center,Stocker Center,,39.3261821,-82.1068246,,,
Surface Sciences Laboratory,Surface Sciences Laboratory,,39.32367285,-82.10043103,,,
Tanaka Hall,Tanaka Hall,,39.32276466,-82.09654235,,,
Technology and Enterprise Building,Technology and Enterprise Building,,39.32061172,-82.1093254,,,
Templeton-Blackburn Alumni Memorial Auditorium,Templeton-Blackburn Alumni Memorial Auditorium,,39.32667618,-82.0993089,,,
Tennis Courts,Tennis Courts,,39.32114061,-82.0975798,,,
Tiffin Hall,Tiffin Hall,,39.32488824,-82.09657562,,,
"Transportation &amp; Parking Services, University Garage","Transportation &amp; Parking Services, University Garage",,39.32719412,-82.10806541,,,
Treudley Hall,Treudley Hall,,39.32555199,-82.10423816,,,
Trisolini House,Trisolini House,,39.32764579,-82.09911247,,,
True House,True House,,39.32262638,-82.09270701,,,
Tupper Hall,Tupper Hall,,39.3260733,-82.09850724,,,
Ullom Apartments,Ullom Apartments,,39.3221373,-82.09816391,,,
Ullom Apartments,Ullom Apartments,,39.3221373,-82.09816391,,,
University Service Center,University Service Center,,39.3280123,-82.10914789,,,
Upper Campus Grounds,Upper Campus Grounds,,39.32586754,-82.09817395,,,
Voigt Hall,Voigt Hall,,39.32822665,-82.09956015,,,
Walter Fieldhouse,Walter Fieldhouse,,39.32116,-82.10125,,,
Walter Hall,Walter Hall,,39.32275429,-82.10293713,,,
Walter International Education Center,Walter International Education Center,,39.32474007,-82.10084121,,,
Washington Hall,Washington Hall,,39.3261662,-82.09581736,,,
Weld House,Weld House,,39.32309351,-82.09339908,,,
West Green Practice Facility,West Green Practice Facility,,39.32459121,-82.10764736,,,
West Union Street Office Center,West Union Street Office Center,,39.33023841,-82.1079293,,,
Wilson Hall (Administrative),Wilson Hall (Administrative),,39.32623149,-82.09980481,,,
Wilson Hall (Residence),Wilson Hall (Residence),,39.32545192,-82.1061325,,,
Wolfe Garden ,Wolfe Garden ,,39.325833,-82.100222,,,
Wolfe Street Apartments,Wolfe Street Apartments,,39.32240859,-82.09764914,,,
Wolfe Street Apartments,Wolfe Street Apartments,,39.32240859,-82.09764914,,,
Wray House,Wray House,,39.32236042,-82.09376401,,,
Wren Stadium,Wren Stadium,,39.32457231,-82.10871019,,,
Yamada International House,Yamada International House,,39.32765284,-82.09858989,,,
